"ID","Reference","Footprint","Quantity","Description","Value"
1,"SW5,SW6,SW7","SW_PUSH_6mm",3,"SW_PUSH_6mm",""
2,"D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14","SOT-23",14,"Schottky Diode Dual Common Anode",""
3,"SW2,SW3,SW4","SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm",3,"SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm",""
4,"C2,C3,C4","C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4",3,"C_Rect_L10.0mm_W2.5mm_P7.50mm_MKS4","100n"
5,"LS1","Indicator_PUI_AI-1440-TWT-24V-2-R",1,"Piezoelectric Buzzer, f_R ~ O(1 kHz)",""
6,"Q1","TO-92",1,"BC547C",""
7,"R1,R3,R4","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",3,"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","100k"
8,"R2","R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",1,"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","750"
9,"C1","CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal",1,"CP_Axial_L11.0mm_D5.0mm_P18.00mm_Horizontal","220u"
10,"SW1","PinHeader_1x03_P2.54mm_Vertical",1,"SW_SPDT_P2.54mm",""
11,"A1","Arduino_Nano",1,"Arduino Nano 33 BLE Rev1",""
12,"BT1,BT2","BatteryHolder_Keystone_1058_1x2032",2,"BatteryHolder_Keystone_1058_1x2032",""
13,"J1","PinHeader_1x07_P2.54mm_Horizontal",1,"PinHeader_1x07_P2.54mm_Horizontal",""
14,"J2,J7","PinHeader_1x02_P2.54mm_Horizontal",2,"PinHeader_1x02_P2.54mm_Horizontal",""
